1, 2, 48000000, 524.250000, 3.141597
2, 4, 24000000, 261.850006, 3.141597
3, 6, 16000000, 175.510010, 3.141597
4, 8, 12000000, 131.230011, 3.141597
5, 10, 9600000, 104.869995, 3.141597
6, 12, 8000000, 87.799995, 3.141597
7, 14, 6857142, 75.279999, 3.141597
8, 16, 6000000, 65.900002, 3.141597
9, 18, 5333333, 58.759998, 3.141597
10, 20, 4800000, 52.779999, 3.141597
11, 22, 4363636, 47.980000, 3.141597
12, 24, 4000000, 44.019997, 3.141597
13, 26, 3692307, 40.759998, 3.141597
14, 28, 3428571, 37.769997, 3.141597
15, 30, 3200000, 35.289997, 3.141597
16, 32, 3000000, 33.079998, 3.141597
1, 4, 24000000, 525.719971, 3.141597
2, 8, 12000000, 262.950012, 3.141597
3, 12, 8000000, 175.720001, 3.141597
4, 16, 6000000, 131.870010, 3.141597
5, 20, 4800000, 105.519997, 3.141597
6, 24, 4000000, 88.049995, 3.141597
7, 28, 3428571, 75.519997, 3.141597
8, 32, 3000000, 66.099998, 3.141597
9, 36, 2666666, 58.829998, 3.141597
10, 40, 2400000, 52.919998, 3.141597
11, 44, 2181818, 48.129997, 3.141596
12, 48, 2000000, 44.149998, 3.141596
13, 52, 1846153, 40.809998, 3.141597
14, 56, 1714285, 37.869999, 3.141596
15, 60, 1600000, 35.349998, 3.141596
16, 64, 1500000, 33.160000, 3.141596
1, 8, 12000000, 527.209961, 3.141597
2, 16, 6000000, 263.940002, 3.141597
3, 24, 4000000, 175.970001, 3.141597
4, 32, 3000000, 132.120010, 3.141597
5, 40, 2400000, 105.709999, 3.141597
6, 48, 2000000, 88.150002, 3.141596
7, 56, 1714285, 75.680000, 3.141596
8, 64, 1500000, 66.209999, 3.141596
9, 72, 1333333, 58.939999, 3.141596
10, 80, 1200000, 52.910000, 3.141596
11, 88, 1090909, 48.250000, 3.141596
12, 96, 1000000, 44.199997, 3.141596
13, 104, 923076, 40.820000, 3.141596
14, 112, 857142, 37.910000, 3.141595
15, 120, 800000, 35.399998, 3.141596
16, 128, 750000, 33.199997, 3.141595
1, 16, 6000000, 529.509949, 3.141597
2, 32, 3000000, 264.520020, 3.141597
3, 48, 2000000, 176.350006, 3.141596
4, 64, 1500000, 132.350006, 3.141596
5, 80, 1200000, 105.949997, 3.141596
6, 96, 1000000, 88.349998, 3.141596
7, 112, 857142, 75.799995, 3.141595
8, 128, 750000, 66.360001, 3.141595
9, 144, 666666, 59.019997, 3.141595
10, 160, 600000, 53.129997, 3.141595
11, 176, 545454, 48.340000, 3.141595
12, 192, 500000, 44.320000, 3.141595
13, 208, 461538, 40.910000, 3.141595
14, 224, 428571, 38.079998, 3.141595
15, 240, 400000, 35.489998, 3.141595
16, 256, 375000, 33.289997, 3.141596
1, 1, 96000000, 522.429993, 3.141597
2, 2, 48000000, 261.339996, 3.141597
3, 3, 32000000, 175.100006, 3.141597
4, 4, 24000000, 130.690002, 3.141597
5, 5, 19200000, 104.839996, 3.141597
6, 6, 16000000, 87.779999, 3.141597
7, 7, 13714285, 75.119995, 3.141597
8, 8, 12000000, 65.619995, 3.141597
9, 9, 10666666, 58.570000, 3.141597
10, 10, 9600000, 52.539997, 3.141597
11, 11, 8727272, 47.779999, 3.141597
12, 12, 8000000, 43.949997, 3.141597
13, 13, 7384615, 40.820000, 3.141597
14, 14, 6857142, 37.619999, 3.141597
15, 15, 6400000, 35.139999, 3.141597
16, 16, 6000000, 33.090000, 3.141597
