29791,	0,	0.090000, 	0.000000
29791,	1,	0.090000, 	3.141631
29791,	8,	0.090000, 	3.141488
29791,	27,	0.320000, 	3.141591
29791,	64,	0.700000, 	3.141555
29791,	125,	1.350000, 	3.141591
29791,	216,	2.300000, 	3.141572
29791,	343,	3.650000, 	3.141594
29791,	512,	5.430000, 	3.141581
29791,	729,	7.720000, 	3.141594
29791,	1000,	10.540000, 	3.141584
29791,	1331,	14.060000, 	3.141591
29791,	1728,	18.230000, 	3.141582
29791,	2197,	23.160000, 	3.141590
29791,	2744,	28.900000, 	3.141587
29791,	3375,	35.559998, 	3.141593
29791,	4096,	43.099998, 	3.141591
29791,	4913,	51.719997, 	3.141597
29791,	5832,	61.329998, 	3.141596
29791,	6859,	72.180000, 	3.141598
29791,	8000,	84.089996, 	3.141593
29791,	9261,	97.400002, 	3.141598
29791,	10648,	111.930000, 	3.141595
29791,	12167,	127.959999, 	3.141600
29791,	13824,	145.279999, 	3.141598
29791,	15625,	164.320007, 	3.141599
29791,	17576,	184.650009, 	3.141595
29791,	19683,	206.980011, 	3.141597
29791,	21952,	230.650009, 	3.141595
29791,	24389,	256.429993, 	3.141596
29791,	27000,	283.679993, 	3.141595

0,	29791,	0.000000, 	0.000000
1,	29791,	0.160000, 	3.141630
8,	29791,	0.160000, 	3.141593
27,	29791,	0.330000, 	3.141598
64,	29791,	0.660000, 	3.141597
125,	29791,	1.320000, 	3.141597
216,	29791,	2.320000, 	3.141597
343,	29791,	3.650000, 	3.141597
512,	29791,	5.320000, 	3.141597
729,	29791,	7.650000, 	3.141597
1000,	29791,	10.490001, 	3.141597
1331,	29791,	13.990001, 	3.141597
1728,	29791,	18.020000, 	3.141597
2197,	29791,	23.000000, 	3.141597
2744,	29791,	28.680000, 	3.141597
3375,	29791,	35.230000, 	3.141597
4096,	29791,	42.779999, 	3.141597
4913,	29791,	51.399998, 	3.141597
5832,	29791,	61.019997, 	3.141597
6859,	29791,	71.760002, 	3.141597
8000,	29791,	83.739998, 	3.141597
9261,	29791,	96.930000, 	3.141597
10648,	29791,	111.570000, 	3.141597
12167,	29791,	127.549995, 	3.141597
13824,	29791,	144.970001, 	3.141597
15625,	29791,	163.920013, 	3.141597
17576,	29791,	184.430008, 	3.141597
19683,	29791,	206.700012, 	3.141597
21952,	29791,	230.580002, 	3.141597
24389,	29791,	256.290009, 	3.141597
27000,	29791,	283.839996, 	3.141597
29791,	29791,	313.230011, 	3.141597

32768,	0,	0.100000, 	0.000000
32768,	1,	0.100000, 	3.141568
32768,	8,	0.100000, 	3.141488
32768,	27,	0.350000, 	3.141588
32768,	64,	0.770000, 	3.141555
32768,	125,	1.480000, 	3.141591
